番号,難易度,問題文,回答,ボタン1,ボタン2,ボタン3,ボタン4,説明1,説明2,説明3,説明4
72,hard,首の骨の数が最も多い動物はどれでしょうか？,ナマケモノ,ヒト,ナマケモノ,キリン,マナティ,ヒトの首の骨の数は、７本です。ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本ある珍しい体の作りとなっています。,ナマケモノも基本的には同じく首の骨の数は7本ですが、ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本ある珍しい体の作りとなっています。,キリンはヒトよりも圧倒的に長い首を持っていますが、大きな骨7本で成り立っています。ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本あるので、キリンの首の骨の数が多くないのです。,マナティの首の骨の数は、６本です。ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本ある珍しい体の作りとなっています。
73,hard,ゾウはなぜ鼻が長くなったでしょうか？,泳いでいる時に息継ぎがしやすいから,エサが食べやすいから,体が掻きやすくなるから,物を掴みやすいから,泳いでいる時に息継ぎがしやすいから,ゾウの鼻は、器用に動かしてエサを食べたりできますが、別の理由で鼻が長くなったといわれています。,ゾウの鼻は、器用に動かすことができるので、体も掻きやすいと思いますが、別の理由で鼻が長くなったといわれています。,ゾウの鼻は骨がなく、筋肉の塊のようなものなので、物も掴みやすいと思いますが、別の理由で鼻が長くなったといわれています。,ゾウは泳ぐのも得意な生き物であり、川を渡って移動することもあります。その際に、鼻をシュノーケルのように使うと息継ぎがしやすくなるため、徐々に長い鼻の生物に進化していったと言われています。
74,hard,動物は様々な模様を持っていますが、地肌の色と体の模様の色が同じとは限りません。では、地肌と体の模様の色が同じ動物はどれでしょうか？,牛,牛,シマウマ,キリン,クマ,牛の一種である「ホルスタイン」は地肌と体の模様が同じ色をしています。,シマウマの地肌は、灰色です。なので、地肌と体の模様の色が同じではありません。,キリンの地肌は、黒みがかった肌色です。なので、地肌と体の模様の色が同じではありません。,クマ（ツキノワグマやヒグマ）の地肌は、黒色です。なので、地肌と体の模様の色が同じではありません。
75,normal,猿の1種「スローロリス」は、他の猿には無い特徴があります。それはなんでしょうか？,毒がある,アルファベットを認識できる,しっぽで歩ける,毒がある,エラ呼吸ができる,スローロリスは、アルファベットを認識できません。,スローロリスのしっぽは退化して毛の下に覆い隠されているので、しっぽで歩くことはできません。,スローロリスは、哺乳類としては珍しい毒を持った生き物です。上腕腺から出る分泌物を唾液と混ぜることによって、有害物質を生成することができます。毛づくろいをしながら毒を全身に広げることで、天敵から身を守っています。,スローロリスは、エラ呼吸はできません。
76,easy,世界三大珍獣の1匹「オカピ」。一見するとシマウマに似ているように見えますが、馬ではありません。何の仲間でしょうか？,キリン,牛,トラ,ウマ,キリン,オカピは、牛の仲間じゃないよ。,オカピは、トラの仲間じゃないよ。,オカピは、ウマの仲間のような見た目をしているけど、ウマの仲間じゃないよ。,そう、オカピは、馬の仲間のような見た目をしているけど、分類上はキリンの仲間だよ。キリンの先祖に近い姿だと言われているよ。
77,normal,まるで笑っているかのような名前の動物がいます。実在するのはどれでしょうか？,クスクス,ニコニコ,クスクス,ゲラゲラ,ケタケタ,ニコニコ、という名前の動物は、実在しないよ。,クスクス、という名前の動物は実在するよ。オーストラリアに棲息していて、カンガルーやコアラと同じように、子どもを育てるための袋を持っているよ。,ゲラゲラ、という名前の動物は、実在しないよ。,ケタケタ、という名前の動物は、実在しないよ。
78,normal,ブタの体脂肪率はどのくらいでしょうか？,体脂肪率１５％,体脂肪率１５％,体脂肪率３０％,体脂肪率４５％,体脂肪率６５％,そうなんだ、「ブタは太っている」というイメージがあるけど、ブタの体脂肪率は１５％と少ないんだよ。,「ブタは太っている」というイメージがあるけど、ブタの体脂肪率は、３０％もないよ。,「ブタは太っている」というイメージがあるけど、ブタの体脂肪率は、４５％もないよ。,「ブタは太っている」というイメージがあるけど、ブタの体脂肪率は、６５％もないよ。
79,hard,「流氷の天使」とも呼ばれる可愛らしい生き物「クリオネ」は何の仲間でしょうか？,貝,クラゲ,プランクトン,イカ,貝,クリオネは、クラゲの仲間ではないよ。殻を持たない巻貝の一種になるんだ。,クリオネは、プランクトンの仲間ではないよ。殻を持たない巻貝の一種になるんだ。,クリオネは、イカの仲間ではないよ。殻を持たない巻貝の一種になるんだ。,クリオネは、とてもそうは見えませんが殻を持たない巻貝の一種です。1月下旬に流氷とともに北海道の方にやって来ます。その可愛らしい姿が合わさって、「流氷の天使」と呼ばれるようになりました。
80,easy,ワニが水中で目を開けていられるのはなぜでしょうか？,目を保護する膜を持っているから,眼球が分厚くて水を弾いてくれるから,もの凄く我慢強いから,目を保護する膜を持っているから,水中で空気の泡を作って目の周りを囲んでいるから,ワニの目が水中で目を開けていられるのは、眼球が分厚くて水を弾いてくれるからじゃないよ。,ワニの目が水中で目を開けていられるのは、もの凄く我慢強いからじゃないよ。,ワニの目には、「瞬膜」という水中で目を守る膜があります。瞬膜が閉じると目がすりガラスのような状態になり、人間で言えばゴーグルを装着したような状態なので、水中でも目を開けていることができます。,ワニの目が水中で目を開けていられるのは、水中で空気の泡を作って目の周りを囲んでいるからじゃないよ。
81,normal,ネコ科の動物は、基本的に爪を出したり引っ込めたりできます。しかし、爪が出たままで引っ込めることができないネコ科もいます。それはなんでしょうか？,チーター,ライオン,チーター,トラ,ピューマ,ネコ科の動物の爪は、必要のないときは引っ込めることができます。ライオンも爪を引っ込めることができるので違うよ。,ネコ科の動物の爪は、必要のないときは引っ込めることができます。しかしチーターの場合は、生後10ヶ月あたりから引っ込めることができなくなります。チーターは最も早く走ることができる動物であり、その爪は武器であると同時にスパイクシューズのような役割も兼ね備えています。,ネコ科の動物の爪は、必要のないときは引っ込めることができます。トラも爪を引っ込めることができるので違うよ。,ネコ科の動物の爪は、必要のないときは引っ込めることができます。ピューマも爪を引っ込めることができるので違うよ。
82,hard,バクはおしっこをとても遠くまで飛ばすことができます。その飛距離はどのくらいでしょうか？,５m,１m,３m,５m,１０m,バクのおしっこは、１mよりももっと遠くに噴射されることがあるよ。,バクのおしっこは、３mよりももっと遠くに噴射されることがあるよ。,バクのおしっこは後ろ向きに霧状に散布され、最大で５mは噴射されることがあるよ。こうすることでバクはマーキングをし、自分の縄張りを主張しているんだ。,バクのおしっこは、さすがに１０mも遠くには噴射されないよ。
83,hard,ハゲワシはその名のとおり、頭に毛がない鳥です。その理由はなんでしょうか？,病気を予防できるから,その方が涼しいから,外敵が苦手な模様に見えるから,威嚇するため,病気を予防できるから,頭に毛がないから涼しそうだけど、理由は違うよ。,確かに外敵が苦手な模様に見えるけど、理由は違うよ。,頭に毛がないと、威嚇しているように見えるかもしれないけど、理由は違うよ。,ハゲワシは、動物の死骸に頭をつっこんで食事をします。頭に毛があると菌が繁殖して病気になりやすいから、病気から身を守るため頭に毛がないよ。
84,normal,世界最大のネズミの仲間「カピバラ」の走る速さはどのくらいでしょうか？,時速５０km,時速１０km,時速２０km,時速３５km,時速５０km,カピバラは、のんびりしたイメージを持たれがちな動物ですが、時速１０kmよりも速く走るよ。,カピバラは、のんびりしたイメージを持たれがちな動物ですが、時速２０kmよりも速く走るよ。,カピバラは、のんびりしたイメージを持たれがちな動物ですが、時速３５kmよりも速く走るよ。,カピバラは、のんびりしたイメージを持たれがちな動物ですが、天敵から逃げるために時速５０kmもの速さで走ることができるよ。
85,hard,クジラとイルカの違いはなんでしょうか？,大きさが一定以上かそれ以下か,知能が一定以上かそれ以下か,大きさが一定以上かそれ以下か,どのくらいの深さまで潜れるか,高くジャンプできるかそうでないか,クジラとイルカは、どちらも「クジラ目」に分類される生き物です。知能が一定以上かそれ以下か、という違いの分類ではないよ。,クジラとイルカは、どちらも「クジラ目」に分類される生き物です。「大人になった時の体長が4mを越すものはクジラ・それ以下はイルカ」というように、大きさが一定以上かそれ以下か、という違いで分類されているよ。,クジラとイルカは、どちらも「クジラ目」に分類される生き物です。どのくらいの深さまで潜れるか、という違いの分類ではないよ。,クジラとイルカは、どちらも「クジラ目」に分類される生き物です。高くジャンプできるかそうでないか、という違いの分類ではないよ。
86,normal,クアッカワラビーは、いつもニコニコと笑っているかのように見える顔をしています。そのことから付けられた別名はなんでしょうか？,世界一幸せな動物,世界一幸せな動物,世界一平和な動物,世界一楽しそうな動物,世界一かわいい動物,クアッカワラビーは、オーストラリアに棲息する動物です。特徴的なのは、まるでニコニコと笑っているかのような可愛らしい顔です。そのことから、「世界一幸せな動物」とも呼ばれるようになりました。,クアッカワラビーは、オーストラリアに棲息する動物です。別名は「世界一平和な動物」ではないよ。,クアッカワラビーは、オーストラリアに棲息する動物です。別名は「世界一楽しそうな動物」ではないよ。,クアッカワラビーは、オーストラリアに棲息する動物です。別名は「世界一かわいい動物」ではないよ。
87,easy,馬が歯を見せる表情をすることがありますが、この時の馬はなにをしているのでしょうか？,匂いを感じ取ろうとしている,目の前の相手を威嚇している,匂いを感じ取ろうとしている,歯に挟まったエサを取ろうと頑張っている,笑っている,馬が歯を見せる表情は、目の前の相手を威嚇している訳ではないよ。,その通り、馬が歯を見せる表情は、匂いを感じ取ろうとしているんだ。「フレーメン反応」と呼ばれるもので、匂いの成分をより多く感じ取ろうとする時に見せるよ。繁殖期を迎えたメスが近くにいる時や、アルコールなどの刺激のある匂いを感じた時によく見られるよ。,馬が歯を見せる表情は、歯に挟まったエサを取ろうと頑張っている訳ではないよ。,馬が歯を見せる表情は、「馬が笑っている」と言われることがあるけど、それは間違いだよ。
88,easy,ネズミも笑い声をあげる動物です。しかし、その声は人間には聞こえません。その理由はなんでしょうか？,声が高すぎるから,声が高すぎるから,声が小さすぎるから,声が低すぎるから,声が響かないから,人間の耳が聞き取れる音は、およそ20Hz（ヘルツ）～20000Hzと言われているよ。しかし、ネズミの笑い声は、50000Hzという若い人でも聞き取れないレベルの甲高いものだから聞き取れないんだ。,人間の耳が聞き取れる音は、およそ20Hz（ヘルツ）～20000Hzと言われているよ。しかし、ネズミの笑い声は、声が小さいから聞こえない訳じゃないんだ。,人間の耳が聞き取れる音は、およそ20Hz（ヘルツ）～20000Hzと言われているよ。しかし、ネズミの笑い声は、声が低すぎるから聞こえない訳じゃないんだ。,人間の耳が聞き取れる音は、およそ20Hz（ヘルツ）～20000Hzと言われているよ。しかし、ネズミの笑い声は、声が響かないから聞こえない訳じゃないんだ。
89,easy,目が見えない人を助ける「盲導犬」。彼らに指示を出すために使われるのは日本語ではありません。では、どの国の言葉で指示を出しているでしょうか？,英語,英語,フランス語,ドイツ語,ロシア語,盲導犬には、「ゴー（進め）」・「ライト（右へ）」・「レフト（左へ）」といった具合に英語で指示を出します。性別や地域に関係なく同じ指示を出せる言葉として、盲導犬への指示には英語が採用されるようになりました。,盲導犬に指示を出す言葉は、フランス語ではないよ。,盲導犬に指示を出す言葉は、ドイツ語ではないよ。,盲導犬に指示を出す言葉は、ロシア語ではないよ。
90,normal,フラミンゴが水の中で片足立ちをする理由はなんでしょうか？,体温が下がり過ぎないようにするため,逆に２本足だと上手く立てないから,バランス感覚が良いオスがモテるから,体温が下がり過ぎないようにするため,敵から逃げる時に逃げやすいから,フラミンゴは、水辺で生活する鳥です。２本足だと上手く立てない訳ではないよ。温かい時期は２本足で立っているよ。,フラミンゴは、水辺で生活する鳥です。バランス感覚の良いオスがモテるから片足立ちする訳ではないよ。,フラミンゴは、水辺で生活する鳥です。両足を水に入れたまま過ごすと体温が下がり過ぎてしまうため、それを防ぐために交互に足を入れ替えながら片足で立つようになったと言われているよ。,フラミンゴは、水辺で生活する鳥です。敵から逃げやすくするために片足立ちしている訳ではないよ。
91,easy,犬はどこで体温調整をしているでしょうか？,舌,耳,舌,足の裏,おなか,犬は人間のように汗をかいて体温を下げることができないけど、耳で体温調節している訳ではないよ。,犬は人間のように汗をかいて体温を下げることができないため、舌を出して唾液を蒸発させることで体温を下げています。,犬は人間のように汗をかいて体温を下げることができないけど、足の裏で体温調節している訳ではないよ。,犬は人間のように汗をかいて体温を下げることができないけど、おなかで体温調節している訳ではないよ。
92,easy,キリンの舌は何色でしょうか？,黒色,赤色,黄色,黒色,茶色,キリンは、長い舌を使って木の上の葉を食べています。キリンの舌は赤色じゃないよ。,キリンは、長い舌を使って木の上の葉を食べています。キリンの舌は黄色じゃないよ。,キリンは、長い舌を使って木の上の葉を食べています。舌が日光に当たる時間が長くなるので、紫外線から守るためにキリンの舌にはメラニン色素がついて黒っぽい色になったと言われているよ。,キリンは、長い舌を使って木の上の葉を食べています。キリンの舌は茶色じゃないよ。
93,normal,リスが松ぼっくりを食べた後の残骸は、あるものの形に似ています。それはなんでしょうか？,エビフライ,たい焼き,ギョウザ,たこ焼き,エビフライ,リスが松ぼっくりを食べた後の残骸は、たい焼きの形ではないよ。,リスが松ぼっくりを食べた後の残骸は、ギョウザの形ではないよ。,リスが松ぼっくりを食べた後の残骸は、たこ焼きの形ではないよ。,リスが松ぼっくりを食べた後の残骸は、エビフライの形に似ているよ。森の中にのエビフライのようなものが落ちていたら、それはリスが食べた松ぼっくりの残骸です。リスは松ぼっくりの中に入っているマツの実を食べるために器用に外側を剥いているため、そのような形になります。
94,easy,犬や猫にとっては毒になってしまう食べ物はどれでしょうか？,チョコレート,ささみ,チョコレート,食パン,じゃがいも,ささみは、犬や猫にとって毒にはなりません。,チョコレートは人間にとっては美味しいお菓子ですが、犬や猫にとっては毒になってしまいます。,食パンは、犬や猫にとって毒にはなりません。,じゃがいもは、犬や猫にとって毒にはなりません。
95,normal,働きアリは1日に何時間寝るでしょうか？,眠らない,１時間,４時間,８時間,眠らない,働きアリは眠らず、ほぼ1日中ずっと働いていて、短い休憩をとるだけです。寝る時間は、１時間ではありません。,働きアリは眠らず、ほぼ1日中ずっと働いていて、短い休憩をとるだけです。寝る時間は、４時間ではありません。,働きアリは眠らず、ほぼ1日中ずっと働いていて、短い休憩をとるだけです。寝る時間は、８時間ではありません。,働きアリは眠らず、ほぼ1日中ずっと働いています。ただ、ずっと動き続けることはできないので、１分くらいの短い休憩を１日に２５０回ほど（合計で約４時間）とっているそうです。
96,hard,牛のほとんどはある特定の方向を向いて食事をしていることが分かっています。その方向として正しいものはどれくらいでしょうか？,南か北,南か北,東か西,牛の性別によって変わる,季節によって変わる,牛のほとんどは、食事や休憩中に北か南を向いていることが分かっています。しかし、その理由までは分かっていません。,牛のほとんどは、東か西を向いて食事や休憩はしていません。,牛のほとんどは、牛の性別によって食事や休憩をする方向が決まっている訳ではありません。,牛のほとんどは、季節によって食事や休憩をする方向が決まっている訳ではありません。
97,hard,コアラはユーカリの葉を食べるのは有名な話ですが、じつはそれ以外のものを食べることがあります。それはなんでしょうか？,土,木の表皮,鳥の羽,土,砂などの小さな石,コアラは、木の表皮は食べません。,コアラは、鳥の羽は食べません。,コアラは土を食べることで、鉄分などのミネラルを摂取しています。,コアラは、砂などの小さな石は食べません。
98,normal,タコの口はどこにあるでしょうか？,足のつけ根,顔,足のつけ根,頭の上,吸盤,タコの口は、顔にある突起部分ではありません。突起部分からは、墨やうんちを吐き出しています。,タコの口は、足のつけ根についています。,タコの口は、頭の上ではありません。,タコの口は、吸盤にはありません。
99,easy,サイには「シロサイ」と「クロサイ」がいますが、体の色では見分けがつきません。では、見分けるポイントはどこでしょうか？,口の形,口の形,角の固さ,耳の長さ,体の大きさ,見分けるポイントは、口の形です。シロサイは口が広いため、地面の草を食べやすい形で、クロサイは口が尖っていて、木の葉や木の実を食べやすい形という特徴があります。,見分けるポイントは、角の固さではありません。,見分けるポイントは、耳の長さではありません。,見分けるポイントは、体の大きさではありません。
100,normal,カモシカは名前に「シカ」と入っていますが、分類的には別の生き物の仲間です。それはどれでしょうか？,牛,ゾウ,ウマ,牛,ブタ,カモシカは、ゾウの分類ではありません。,カモシカは、ウマの分類ではありません。,カモシカは名前に「シカ」とついていますが、分類的にはウシ科になるため牛の仲間です。,カモシカは、ブタの分類ではありません。
101,normal,かむ力が非常に強い動物で実在する名前は、次のうちどれでしょうか？,カミツキガメ,カミツキザメ,カミツキザル,カミツキワシ,カミツキガメ,カミツキザメという、実名や別名はありません。,カミツキザルという、実名や別名はありません。,カミツキワシという、実名や別名はありません。,その通り、カミツキガメは非常にかむ力が強いので危険です。
102,hard,スズメバチが針を刺す行為について、正しい物はどれでしょうか？,何度でも針を刺すことができる,樹液を吸いやすいよう木の幹を刺す,何度でも針を刺すことができる,オスもメスも刺すことができる,動物の血を吸うために刺す,スズメバチは、樹液を吸いやすいよう木の幹を刺していません。樹液は吸いますが、針で吸っていません。,スズメバチは、ミツバチのように針先に「返し」がついていないので、何度でも針を刺すことができます。,スズメバチは、メスだけが針をもっているので、「オスもメスも刺すことができる」というのは誤りです。,スズメバチは、蚊のように動物の血を吸うために刺すことはありません。
103,normal,インドネシアのコモド島などに生息する、「コモドドラゴン」は世界最大級の何でしょうか？,トカゲ,トカゲ,ヘビ,ワニ,カエル,「コモドドラゴン」は、トカゲに分類されます。公式記録では、最大の全長は3.13m、体重は166kgあったとされています。,「コモドドラゴン」は、ヘビの分類ではありません。,「コモドドラゴン」は、ワニの分類ではありません。,「コモドドラゴン」は、カエルの分類ではありません。
104,hard,ビーバーの歯の特徴は何でしょう？,一生伸び続ける,抜けてもまた生えてくる,大人になると色が変わる,大人になると歯が短くなる,一生伸び続ける,ビーバーの歯は、抜けてもまた生えてくるというのが特徴じゃないよ。,ビーバーの歯は、大人になると色が変わるというのが特徴じゃないよ。,ビーバーの歯は、大人になると歯が短くなるというのが特徴じゃないよ。,ビーバーの歯は、死ぬまで成長し続けるよ。いろいろな物を噛んで、ちょうど良い長さに調節しているよ。もし、伸ばし続けてしまうと、最終的には歯が脳まで達して死んでしまうそうなんだ。 
105,easy,人間の指紋のように同じものが２つと無い犬の身体の一部はどこ？,鼻の模様,肉球,犬歯,鼻の模様,しっぽ,同じものが２つと無い犬の身体の一部は、肉球じゃないよ。,同じものが２つと無い犬の身体の一部は、犬歯じゃないよ。,犬の鼻の模様は世界にひとつだけです！犬の世界で契約書があったら、鼻のスタンプを押すかもしれませんね！,同じものが２つと無い犬の身体の一部は、しっぽじゃないよ。
106,hard,ハチドリは一秒間に何回羽ばたけるでしょう？,８０回,１０回,５０回,８０回,１００回,ハチドリは一秒間に１０回以上羽ばたくよ。,ハチドリは一秒間に５０回以上羽ばたくよ。,そう、ハチドリは一秒間に８０回羽ばたくよ。 ハチドリは花の蜜を主食としているけど、餌とする花に止まれる枝がないから、ホバリング能力を進化させたんだ。,ハチドリは一秒間に１００回は羽ばたけないよ。
107,normal,この中で一番寿命が長いクジラは、何クジラでしょう？,ホッキョククジラ,シロナガスクジラ,ホッキョククジラ,マッコウクジラ,ザトウクジラ,シロナガスクジラの寿命は、最長１１０年という記録があるようだけど、ホッキョククジラにはかなわないね。,ホッキョククジラは体温が低く、代謝が少ないので、２００年以上生きられるそうです！もはや人間よりもずいぶん長生きでびっくりしますね！,マッコウクジラの寿命は、約７０年のようですが、ホッキョククジラの寿命にはかないません。,ザトウクジラの寿命は、最長７７年生きたザトウクジラもいるそうですが、ホッキョククジラにはかないません。
108,easy,ホッキョクグマの皮膚の色は何色でしょう？,黒,白,透明,黒,ピンク,ホッキョクグマは真っ白な体毛に覆われていますが、皮膚の色は白ではありません。,ホッキョクグマは真っ白な体毛に覆われていますが、皮膚の色は透明ではありません。,ホッキョクグマは真っ白な体毛に覆われていて意外ですが、皮膚の色は黒いそうです。,ホッキョクグマは真っ白な体毛に覆われていますが、皮膚の色はピンクではありません。
109,normal,ゾウは５キロ先の何を知覚することができるでしょう？,水の匂い,外敵の足音,花の色,空の状態,水の匂い,ゾウは、外敵の足音を５キロ先まで知覚することはできません。,ゾウは、花の色を５キロ先まで知覚することはできません。,ゾウは、空の状態を５キロ先まで知覚することはできません。,ゾウは、広いジャングルや森の中でも水の場所がわかるので、安心して移動できますね。ゾウの鼻はそんな遠くまで嗅ぐことができるのですね。
110,normal,コアラの特徴として正しいのはどれでしょう？,ほとんど水を飲まない,毎日大量の水を飲む,ほとんど水を飲まない,水浴びをすると死んでしまう,木の間を移動することはできない,コアラは、ユーカリから水分を摂っているのでいるので大量の水を飲むことはありません。,コアラは、ユーカリの葉を食べますが、水分もこのユーカリから摂っています。なので水を飲むことはとても珍しいです。,コアラは、水浴びをしても死ぬことはありません。,コアラは、生活する木の間を移動することはできます。
111,easy,闘牛の牛が興奮している理由として正しいのはどれでしょう？,布が揺れるのに興奮している,布が揺れるのに興奮している,赤い色に興奮している,お腹を空かせて興奮している,怒って興奮している,闘牛は、布が揺れるのに興奮するようです。闘牛士は布の扱いがとても上手で、牛の気持ちを絶妙に操っているそうです。赤い布のイメージがありますが、何色でもＯＫのようです。,闘牛は、赤い色に興奮している訳ではないそうです。,闘牛は、お腹を空かせて興奮している訳ではないようです。,闘牛は、怒って興奮している訳ではないようです。
112,normal,パンダの指は7本あると言われています。なぜそんなに指が多いのでしょうか？,物をつかみやすくするため,木に登りやすくするため,敵におそわれた時に強い力で反撃するため,気候の変化を感じるため,物をつかみやすくするため,パンダの指が7本あるのは、木に登りやすくするためが理由じゃないよ。,パンダの指が7本あるのは、敵におそわれた時に強い力で反撃するためが理由じゃないよ。,パンダの指が7本あるのは、気候の変化を感じるためが理由じゃないよ。,パンダは私たちと同じように5本の指があります。それに加えて、パンダの手には骨が変化した「2つのコブ」があります。その2つのコブがあることで、笹をつかみやすくしていると考えられています。厳密に言うと…2つのコブは指ではありませんが、「第6の指・第7の指」とも言われています。
113,normal,世界一寝ている時間が長い動物はなんでしょうか？,コアラ,コアラ,ナマケモノ,ラッコ,ゴリラ,コアラはユーカリという植物の葉を食べていますが、このユーカリには毒があります。コアラはユーカリの毒を分解できますが、それには時間がかかるので体力を残しておくためにも1日のほとんど（約22時間）を寝て過ごします。,よく寝ている動物と言えばナマケモノをイメージする人も多いかもしれませんが、コアラはそれ以上によく寝ます。ナマケモノの睡眠時間は約20時間で、コアラは約22時間です。,ラッコの睡眠時間は約11時間で、コアラは約22時間です。なので、コアラにはかなわないね。,ゴリラの睡眠時間は約12時間で、コアラは約22時間です。なので、コアラにはかなわないね。
114,easy,サイのツノは何でできているでしょうか？,皮ふ,骨,皮ふ,石,毛,サイのツノは、骨でできていません。実は「皮ふ」なのです。,サイのツノは、皮ふの一部が硬くなったもの（皮ふが角質化したもの）なんです。,サイのツノは、石でできていません。実は「皮ふ」なのです。,サイのツノは、体毛でできていません。実は「皮ふ」なのです。
115,easy,馬は鼻息が荒い動物です。その理由はなんでしょうか？,口では呼吸できないから,いつも興奮しているから,息をするのが下手くそだから,走りたくてウズウズしているから,口では呼吸できないから,馬は、いつも興奮しているから鼻息が荒いのではありません。口では呼吸できないので、鼻息が荒いのです。,馬は、息をするのが下手くそだから鼻息が荒いのではありません。口では呼吸できないので、鼻息が荒いのです。,馬は、走りたくてウズウズしているから鼻息が荒いのではありません。口では呼吸できないので、鼻息が荒いのです。,馬は鼻で呼吸することはできても、口では呼吸できません。なので、鼻息が荒いのです。
116,easy,ネズミをくすぐるとどうなるでしょうか？,笑う,笑う,怒る,泣く,何も反応しない,ネズミは、くすぐられると笑うことが分かっています。しかし、ネズミの笑い声は人間には聞こえません。,ネズミは、くすぐられると怒るのではなく、笑います。しかし、ネズミの笑い声は人間には聞こえません。,ネズミは、くすぐられると泣くのではなく、笑います。しかし、ネズミの笑い声は人間には聞こえません。,ネズミは、くすぐられると何も反応しないのではなく、笑います。しかし、ネズミの笑い声は人間には聞こえません。
117,normal,サイは火を見つけると消そうとします。どうやって消そうとするでしょうか？,踏みつけて消そうとする,ツバをかけて消そうとする,おしっこをかけて消そうとする,踏みつけて消そうとする,土をかけて消そうとする,サイは、火を見つけるとツバをかけて消そうとするのではなく、踏みつけて消そうとします。,サイは、火を見つけるとおしっこをかけて消そうとするのではなく、踏みつけて消そうとします。,サイは火を見つけると駆け寄って来て、踏みつけて消そうとする習性があります。そのことから、「森の消防士」とも呼ばれています。なぜ火を消そうとするのか…その理由はまだ分かっていません。,サイは、火を見つけると土をかけて消そうとするのではなく、踏みつけて消そうとします。
118,easy,キリンはどうやってケンカをするでしょうか？,首をぶつけ合う,ツバをかけ合う,首をぶつけ合う,足の速さで勝ち負けを決める,背の高さで競い合う,キリンはケンカをする時、ツバをかけ合うのではありません。首をぶつけ合います。,キリンはケンカをする時、長い首をお互いにぶつけ合います。かなり激しくぶつけ合う上に、どちらかが降参するまで続くので首を骨折してしまうこともあるようです。,キリンはケンカをする時、足の速さで勝ち負けを決めるのではありません。首をぶつけ合います。,キリンはケンカをする時、背の高さで競い合うのではありません。首をぶつけ合います。
119,normal,ライオンのたてがみは何のためにあるでしょうか？,強さをアピールするため,強さをアピールするため,寒さ対策,体を洗う時に泡立ちやすくするため,メスにモテるため,長くて濃いたてがみを持っているライオンのオスほど、強くたくましいオスであることが分かっています。立派なたてがみを持っていると体も大きく見えるため、他のオスからも怖がられてムダな戦いを避けることができます。,ライオンのたてがみは、寒さ対策ではないよ。強さをアピールして、ムダな戦いを避けているんだ。,ライオンのたてがみは、体を洗う時に泡立ちやすくするためではないよ。強さをアピールして、ムダな戦いを避けているんだ。,ライオンのたてがみは、メスにモテるためだけではないよ。強さをアピールして、ムダな戦いを避けているんだ。
120,normal,タヌキはびっくりするとどうなるでしょうか？,気絶する,逆立ちをする,全力で穴を掘る,気絶する,全力で逃げる,タヌキは、ビックリしても逆立ちはしないよ。臆病（おくびょう）な動物なので気絶するよ。,タヌキは、ビックリしても全力で穴を掘らないよ。臆病（おくびょう）な動物なので気絶するよ。,タヌキはかなり臆病（おくびょう）な動物です。びっくりするとすぐに気絶してしまいます。,タヌキには全力で逃げる余裕もないよ。臆病（おくびょう）な動物なので気絶するよ。
